instance: p01
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 605.5712983411573 4.975349444616171
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 606.4177948569699 5.122089007396781
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 606.7884801773304 5.186347041331729
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 606.8672327697525 5.199998746641796
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.2 607.0668242938767 5.234597793935677
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 607.0766257274424 5.236296865401641
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 607.2593757265261 5.2679764464309216
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.5 607.4686989408492 5.304262475228256
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.1 607.4983723872053 5.309406345832741
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.0 607.7339338187733 5.3502407507364325

instance: p02
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 480.77970658376114 1.530992035089895
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 481.19887531870313 1.6195120306428663
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.1 481.68336995680477 1.721827541402817
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 481.724038674588 1.7304159556074552
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 482.25836932901086 1.8432558294112198
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.1 482.3563439843992 1.8639461036046754
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.2 482.38088154014207 1.8691279412375366
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 482.8872186890395 1.976056150410642
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 483.03051771164195 2.0063180182125677
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 483.1011325823594 2.0212304568579498

instance: p03
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 669.3166465418113 4.386632128044937
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 669.5387164713449 4.421266156887157
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 671.0148776306598 4.651488268790814
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 671.5699354303907 4.738055089815916
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 671.6242279144899 4.74652254627955
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 672.2898510656047 4.850333140817028
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.2 672.5821273301356 4.895916550497589
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.5 672.8613354247811 4.939461848247959
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.1 673.1398003629506 4.982891243305502
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.1 673.9996947482107 5.117000381822962

instance: p04
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 1076.3292371745613 7.4620590435768435
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 1077.83023787698 7.611920833572611
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.0 1078.1261860644904 7.641468671261734
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.1 1078.4751303076873 7.676307701523314
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.2 1079.0034185273726 7.729052659009426
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 1079.4153753511346 7.770182944232118
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 1079.434760798776 7.772118411603159
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.1 1079.4457118228443 7.773211775561279
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 1079.74100128444 7.802693845230081
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.2 1080.04843374988 7.833388287610688

instance: p05
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.2 820.673944915449 9.418815902757103
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 821.2538128684287 9.49612853731567
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.5 822.1976224584964 9.621964782541568
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.2 822.2624817894397 9.630612347431395
evolve-10-population-200-tournament-group-2-crossover-1.0-mutation-0.2 822.6587888491956 9.683451175179073
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 823.4324464836158 9.786601400426093
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 823.5449065647772 9.801595478151171
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.1 824.7609214404107 9.963724309749054
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 825.5474956725496 10.06859667913946
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.0 825.9059271874073 10.11638563622887

instance: p06
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.5 942.1592659699447 7.491074269246397
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 944.6465002056884 7.774843149536608
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.2 944.8379106935647 7.79668119721218
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.1 945.1577029756583 7.8331663406341505
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.5 945.2996743711441 7.8493638757722834
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 945.3807783448923 7.8586170387783625
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.1 945.6577150904922 7.89021278841895
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 946.0029829315604 7.929604441706829
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 946.0045969236085 7.929788582271357
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.2 946.1018247799409 7.940881321156979

instance: p07
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.1 933.8450815937274 5.423919800601425
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.2 934.3878518152467 5.485194379684657
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.1 934.7677728779718 5.52808454255721
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.5 935.4591028356842 5.606130372057379
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 937.054372508449 5.786224035724658
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 937.4800111993387 5.834275366825338
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.0 937.8583047993427 5.876981801686924
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.5 937.9899996927611 5.891849141201291
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 938.177853917962 5.9130564368889225
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.2 938.2146415398844 5.917209476166676

instance: p08
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 4615.801807436556 4.013849746636893
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 4621.000443611757 4.130997359245299
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 4621.758243885535 4.148073855833104
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 4622.035369837371 4.154318694393709
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.2 4623.523034950165 4.187842182179992
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 4623.924982846692 4.196899795539366
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.5 4625.433668222148 4.2308969601717195
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.5 4626.374730932908 4.252103146980133
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.1 4627.12168781715 4.26893529540547
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.2 4627.463287826078 4.2766330115302935

instance: p09
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 4146.985490754592 6.326963370132773
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.2 4149.958444229362 6.403188646521528
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.5 4150.606050382215 6.4197929958365165
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.5 4151.234000686875 6.435893377472951
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 4151.764388735908 6.449492303918959
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 4152.064476843638 6.457186436755819
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 4152.335821645174 6.464143603314028
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.1 4152.465186437122 6.467460462156538
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 4152.911691827988 6.478908672536107
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.1 4152.998825502811 6.481142743301959

instance: p10
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 3950.8220604034404 7.856961206966943
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.2 3957.1934443469836 8.030899212862153
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 3961.2880519744226 8.142681502542231
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 3961.4289761425007 8.146528715172195
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 3962.583167335997 8.17803799422326
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 3963.3765207669003 8.199696446290233
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 3964.6745212276314 8.235131700826955
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.5 3966.487281727498 8.284619841756196
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 3966.804579098314 8.293282021346158
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.2 3970.647782744092 8.398201012937207

instance: p11
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 3871.5320747174783 8.928981501147334
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.5 3886.4794973371536 9.349540466075268
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.5 3889.2740246242915 9.428166964652647
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.2 3889.67305919226 9.4393941553962
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.0 3890.7505005493695 9.469708921590069
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 3893.39072701666 9.543994030033943
