#individual_index individual_rank segment_count deviation connectivity
0 0 41 326908.78479 2773.00000
1 0 1 1085359.64597 0.00000
2 0 41 326908.78479 2773.00000
3 0 6 760601.06398 688.08333
4 0 2 672918.36829 688.66667
5 0 5 835576.73636 639.66667
6 0 2 768602.55932 639.83333
7 0 5 890147.56361 606.83333
8 0 3 588290.02376 838.00000
9 0 2 838943.48444 608.00000
10 0 2 536836.23971 838.00000
11 0 3 1060452.78830 159.83333
12 0 2 1011470.35879 164.16667
13 0 5 668071.65590 724.50000
14 0 2 637240.13602 725.83333
15 0 7 979155.06112 382.66667
16 0 33 331170.80816 2594.50000
17 0 36 331293.42993 2501.66667
18 0 2 955568.87952 388.83333
19 0 8 378064.85844 1515.16667
20 0 32 332176.02867 2439.83333
21 0 3 1078015.66749 79.33333
22 0 2 932902.37265 420.50000
23 0 5 416969.22394 1275.00000
24 0 12 363445.73385 1641.66667
25 0 33 331536.29405 2476.50000
26 0 5 497802.91126 995.00000
27 0 2 761399.46655 647.83333
28 0 38 327151.64891 2747.83333
29 0 6 924982.79068 474.83333
30 0 6 434327.54904 1226.50000
31 0 3 597223.53489 817.00000
32 0 2 948090.76934 401.16667
33 0 4 515120.50589 917.50000
34 0 6 443452.36467 1141.50000
35 0 3 931684.56194 430.50000
36 0 4 476210.35846 1016.83333
37 0 5 458599.49493 1085.50000
38 0 3 991584.40430 260.16667
39 0 4 1010447.97143 199.50000
40 0 35 330712.69262 2598.66667
41 0 16 347647.18576 1913.00000
42 0 6 410661.53388 1290.16667
43 0 4 947136.96276 419.33333
44 0 4 985574.91360 357.83333
45 0 3 925325.51855 449.66667
46 0 5 999547.19246 256.00000
47 0 3 483840.64079 995.66667
48 0 5 502618.27175 973.66667
49 0 11 390193.17904 1508.33333
50 0 3 528084.06206 878.83333
51 0 10 396010.62742 1404.66667
52 0 9 365598.07511 1585.33333
53 0 3 891661.14089 590.66667
54 0 3 608264.10025 807.16667
55 0 34 334185.30617 2348.33333
56 0 24 337815.17063 2174.33333
57 0 38 327998.25790 2717.00000
58 0 2 915143.88556 488.66667
59 0 7 400117.17465 1343.50000
60 0 14 362919.41467 1663.00000
61 0 34 330527.42839 2647.00000
62 0 7 424619.15345 1275.00000
63 0 8 426533.69662 1261.00000
64 0 16 347080.19796 1938.00000
65 0 3 911858.51825 535.66667
66 0 13 361030.25710 1682.00000
67 0 24 342885.51142 2054.00000
68 0 15 360777.02217 1703.33333
69 0 14 352541.73957 1821.00000
70 0 2 530684.44387 844.66667
71 0 21 343192.56750 2030.83333
72 0 8 391844.15790 1456.33333
73 0 31 333393.82292 2412.33333
74 0 7 449446.81215 1131.33333
75 0 2 1001046.55472 210.66667
76 0 3 623764.52846 741.33333
77 0 3 518443.74885 906.66667
78 0 15 349513.95804 1892.33333
79 0 5 1064559.93794 134.83333
80 0 14 357006.06247 1752.33333
81 0 3 507709.31351 925.16667
82 0 18 344100.48689 1977.50000
83 0 13 356335.21340 1772.00000
84 0 26 335829.02071 2229.50000
85 0 3 529194.55400 863.00000
86 0 6 405957.55256 1339.16667
87 0 36 329083.48606 2665.50000
88 0 5 760739.90303 678.41667
89 0 5 449574.04637 1118.33333
90 0 6 483482.41260 1016.83333
91 0 10 364090.08710 1601.33333
92 0 12 354113.86115 1786.00000
93 0 11 373470.51931 1559.00000
94 0 9 376067.56228 1531.16667
95 0 7 393816.17628 1435.16667
96 0 33 334147.29894 2386.00000
97 0 4 1075169.73082 100.16667
98 0 4 524511.77407 897.00000
99 0 13 353783.87617 1805.00000
100 0 7 442542.29050 1173.66667
101 0 3 899439.03247 554.50000
102 0 23 340050.07547 2067.33333
103 0 16 360244.83016 1726.66667
104 0 9 398037.39686 1372.83333
105 0 2 631080.54298 730.66667
