#individual_index individual_rank segment_count deviation edge
0 0 1 1085359.64597 0.00000
1 0 41 351691.08317 215640.43493
2 0 18 889223.94592 44507.68363
3 0 20 775189.83258 72173.06096
4 0 8 888367.21162 51682.52827
5 0 6 622203.01836 103629.00198
6 0 6 828422.23615 64184.69304
7 0 13 1048141.07658 10907.64260
8 0 2 1030586.19514 12645.91671
9 0 6 669188.73256 98964.56300
10 0 3 646234.59648 99007.33402
11 0 7 766509.89216 76012.11763
12 0 3 487632.97717 127823.63632
13 0 11 508391.48950 127768.80552
14 0 9 697777.50753 91655.86497
15 0 6 591417.09792 109422.69538
16 0 4 637298.56026 100041.20806
17 0 14 398447.88794 170687.58554
18 0 5 734262.39219 84411.06190
19 0 18 901568.18517 39460.26659
20 0 9 451231.07826 135486.56237
21 0 18 685479.26818 97504.44783
22 0 11 530576.50315 123362.38545
23 0 37 357085.66785 205193.72333
24 0 5 466079.71299 131212.82583
25 0 7 971727.54611 19054.27445
26 0 7 708564.89413 90636.65139
27 0 32 354502.28143 210797.36988
28 0 5 746015.24878 84315.14539
29 0 11 903544.59232 37133.98583
30 0 18 402898.18145 168143.33139
31 0 12 407792.37645 163942.12705
32 0 5 868819.62447 56545.94456
33 0 10 788398.42222 66815.68702
34 0 28 360369.87878 199315.02940
35 0 6 593707.33130 107511.28307
36 0 6 476168.50457 130272.42331
37 0 13 394204.74217 173542.18136
38 0 10 569862.31848 116650.71782
39 0 6 812334.43006 64529.02314
40 0 5 1000313.38527 16220.10800
41 0 5 630111.51477 101548.96888
42 0 21 751653.45940 81927.51091
43 0 9 883579.74577 52844.66521
44 0 18 410261.24555 161795.15958
45 0 37 361214.64768 196709.36694
46 0 15 891301.14576 42074.33979
47 0 16 414863.28368 158497.82612
48 0 6 715533.79347 87629.76644
49 0 4 548553.53960 118662.74066
50 0 4 580346.48581 109609.17314
51 0 13 783918.75780 67983.70213
52 0 30 379526.18984 185158.09043
53 0 5 1071548.67146 1983.00689
54 0 9 759364.59963 76633.64579
55 0 38 353332.51286 212802.63721
56 0 7 955181.64468 20906.81936
57 0 16 412389.78599 160424.70184
58 0 4 614112.99585 103838.22793
59 0 12 953645.84970 22351.25127
60 0 25 422723.21680 154187.55353
61 0 7 565842.62529 117331.17953
62 0 3 988399.62934 17251.99599
63 0 18 777266.18782 70417.02139
64 0 7 835891.54424 62483.29867
65 0 15 419477.35618 155572.27443
66 0 27 380436.60818 183235.22010
67 0 37 357213.37903 201743.61945
68 0 8 446095.21218 138375.95969
69 0 16 780357.02563 69155.37224
70 0 6 856469.76710 57077.10874
71 0 9 755449.32293 77451.38187
72 0 28 364521.57108 194158.60355
73 0 4 986945.13746 17594.17067
74 0 11 434367.66692 145438.71121
75 0 12 417391.57455 157093.60137
76 0 13 940859.80244 27082.82794
77 0 7 863008.00289 56856.15027
78 0 37 355175.02387 207920.45675
79 0 6 607419.35992 105402.15135
80 0 6 571862.94195 112446.73303
81 0 15 407084.00674 166201.65608
82 0 2 672918.36829 97891.66990
83 0 6 458401.38117 134255.64782
84 0 10 1053023.03065 7992.66673
85 0 7 524319.64488 124523.46277
86 0 19 397351.65107 172314.90145
87 0 20 374912.21086 187497.64788
88 0 21 383568.56314 181895.57367
89 0 6 879785.89120 56542.19045
90 0 15 838232.92987 60698.95217
91 0 23 749082.00259 83424.02550
92 0 5 476987.86404 129290.97277
93 0 4 962351.29355 19306.72932
94 0 12 881962.00294 54739.94880
95 0 25 370133.29113 190418.84592
96 0 15 388904.16536 177741.27846
97 0 8 522999.07051 125223.24189
98 0 8 831976.52991 63343.42276
99 0 23 386051.00915 178850.00442
100 0 9 893262.67587 39805.15508
101 0 4 544066.86665 120193.08411
102 0 3 1029944.36562 12955.92669
103 0 9 712802.78203 88762.14526
104 0 5 514867.90377 125635.21824
105 0 24 423739.03740 152199.77559
106 0 19 425048.08016 151049.73001
107 0 4 1084477.82655 566.09743
108 0 7 556865.86007 117525.16522
109 0 20 383581.37260 180077.24967
110 0 7 944909.33611 24739.83363
111 0 6 960866.13252 19833.55440
112 0 15 391160.36682 175647.95718
113 0 19 375928.57499 186597.16472
114 0 9 913344.76878 33886.53932
115 0 7 914946.15970 32097.72111
116 0 4 630536.81915 101059.97949
117 0 7 906473.84908 35531.58538
118 0 5 600701.25824 106070.09097
119 0 6 1067949.62066 4155.81562
120 0 6 804307.20334 64842.78723
121 0 5 609201.12623 104395.49908
122 0 5 976835.34729 18125.33485
123 0 10 942995.73285 25878.29781
124 0 7 721143.97665 86462.70217
125 0 25 363306.68052 195332.25947
126 0 6 598553.44220 106347.47739
127 0 13 841213.03044 59996.86943
128 0 3 1011711.89784 14479.49583
129 0 3 1020529.96449 13531.31475
130 0 10 796333.70846 66393.73649
131 0 8 453164.95313 134786.78325
132 0 34 358154.86837 201044.18605
133 0 6 916610.10797 31184.94494
134 0 7 800354.61552 64968.34254
135 0 9 936127.95224 28968.89325
136 0 38 352632.57251 214941.00153
137 0 6 722435.21005 86152.69219
138 0 8 936635.46221 28269.11414
139 0 2 1075520.49174 859.24464
140 0 39 355647.77558 206915.55454
141 0 7 464652.79747 132408.33030
142 0 7 571562.12725 113870.28778
143 0 5 484863.85225 128833.42541
144 0 5 1068684.12827 3845.80564
145 0 14 752793.20617 79555.55433
146 0 10 1056707.27821 6764.82904
147 0 16 403965.89242 166948.16234
148 0 8 532688.31348 121387.82257
149 0 11 438079.31439 142460.75686
150 0 8 710597.24953 90021.62142
151 0 5 923555.76687 30459.93691
152 0 4 1019878.97328 13841.32473
153 0 2 1012331.69435 14169.48585
154 0 16 429639.81143 147059.45441
155 0 22 427767.16063 149577.77833
156 0 8 443020.11417 139288.22313
157 0 5 1059623.01710 4732.18158
158 0 7 729779.18203 85736.74065
159 0 16 429639.81143 147059.45441
160 0 8 850106.53533 57373.98377
161 0 4 644926.29540 99317.34400
162 0 6 930168.45884 29661.37580
163 0 12 695046.49609 92788.24378
164 0 10 509737.95083 127069.02641
165 0 6 949960.18994 23995.54444
166 0 3 1003814.99538 15054.88389
167 0 18 370512.99388 189076.45360
168 0 17 687233.17762 95223.70918
169 0 9 1057331.19870 6065.04993
170 0 13 753465.47648 79245.54435
171 0 6 557055.71895 117417.80671
172 0 5 537351.96005 120351.64372
173 0 5 547093.93784 119362.51977
174 0 10 439955.43093 140298.01222
175 0 10 891995.10869 40504.93419
176 0 24 367460.56460 192216.80009
177 0 6 923019.94495 31159.71602
178 0 18 687225.49759 96509.51871
179 0 9 435055.47668 142920.31183
180 0 7 929452.25927 29971.38578
181 0 15 389265.62021 175804.70878
182 0 8 766497.89216 76054.50564
183 0 11 439776.46709 141183.50672
184 0 12 434384.09041 144143.47772
185 0 6 811260.58160 64638.95667
186 0 6 729825.33741 85296.45994
187 0 7 578107.89831 111654.55842
188 0 8 849281.35688 57951.17316
189 0 11 845337.61947 59296.54903
190 0 8 796437.92461 65828.46663
191 0 14 692647.55459 93089.67314
192 0 24 367460.56460 192216.80009
193 0 8 888367.21162 51682.52827
194 0 10 846095.17426 58828.85433
195 0 7 906473.84908 35531.58538
196 0 5 578512.65234 110308.95225
197 0 5 976835.34729 18125.33485
198 0 3 1074660.05135 927.78606
199 0 22 427767.16063 149577.77833
