#individual_index individual_rank segment_count deviation edge connectivity
0 0 1 1085359.64597 0.00000 0.00000
1 0 1 1085359.64597 0.00000 0.00000
2 0 47 319039.30431 237241.02885 3099.08333
3 0 12 415029.66047 154850.35037 1477.58333
4 0 13 397909.08061 163873.71973 1581.83333
5 0 10 385431.02266 169557.22302 1558.66667
6 0 6 524193.27357 122185.08467 1073.66667
7 0 27 338911.80066 210853.72407 2327.00000
8 0 4 1028553.84855 13976.26783 214.91667
9 0 13 381326.58167 175758.55274 1654.33333
10 0 27 334589.41053 209532.68892 2378.08333
11 0 12 381501.35374 171149.18813 1623.16667
12 0 4 1045852.59152 12492.74041 175.75000
13 0 42 320100.04871 232797.24073 2970.58333
14 0 13 377080.95673 178215.62729 1701.50000
15 0 2 931850.81416 49966.43734 426.83333
16 0 3 487632.97717 127823.63632 1010.50000
17 0 20 346944.06832 201472.53640 2034.50000
18 0 44 319496.93309 235469.53187 3036.25000
19 0 14 395722.90378 164972.68419 1665.00000
20 0 39 321453.33315 230922.94095 2843.08333
21 0 18 368826.62043 182422.85168 1817.50000
22 0 3 999217.69027 17606.05896 262.00000
23 0 3 948796.27311 46770.27556 408.00000
24 0 6 570250.97882 116165.09906 1089.33333
25 0 7 467797.36676 131909.24627 1148.75000
26 0 8 789958.81304 77766.85772 939.33333
27 0 41 322603.90544 225701.69078 2916.75000
28 0 4 1076119.59100 4116.61707 80.16667
29 0 21 407363.57609 161138.25577 1791.41667
30 0 8 962857.98850 22175.00677 483.75000
31 0 30 333524.36048 218145.05667 2491.75000
32 0 11 442061.07610 143570.73044 1345.50000
33 0 4 609869.86436 106408.41614 855.66667
34 0 2 864734.06889 82516.98163 636.50000
35 0 5 1071258.57194 7546.85054 148.66667
36 0 8 914319.16591 34454.11001 642.50000
37 0 40 320485.19544 231983.38870 2886.08333
38 0 27 337902.98085 213531.14770 2308.08333
39 0 22 349033.75661 195904.85203 2086.41667
40 0 12 889176.31512 41962.98987 803.50000
41 0 7 850784.06680 51566.85750 689.16667
42 0 21 365882.24121 184448.21702 1920.16667
43 0 4 718874.17752 94757.67589 773.33333
44 0 5 978961.12969 26572.49029 339.91667
45 0 7 811857.80412 69887.88682 818.33333
46 0 14 357083.82152 186474.30843 1767.83333
47 0 28 337456.62508 207337.83490 2420.41667
48 0 7 839278.13032 51797.70164 706.00000
49 0 14 780640.31250 81347.90613 1130.83333
50 0 3 616460.31729 110443.99913 805.16667
51 0 11 411911.69386 157765.96018 1451.66667
52 0 25 345180.50248 202320.87334 2263.16667
53 0 5 882367.50466 64759.91246 604.00000
54 0 9 386836.53153 167854.98644 1459.50000
55 0 30 329837.09540 216786.39621 2522.41667
56 0 6 727477.78700 91214.20901 964.83333
57 0 9 835120.43152 57468.50501 788.33333
58 0 30 337246.65515 207704.14821 2439.25000
59 0 42 319882.07982 234655.67984 2951.75000
60 0 4 534760.08871 118213.84339 927.50000
61 0 2 637074.95411 101422.08687 726.00000
62 0 8 784229.63433 77707.69881 942.83333
63 0 25 338999.41121 205233.72348 2282.25000
64 0 5 574260.85659 114265.63351 1036.66667
65 0 10 420878.96712 149944.06994 1327.16667
66 0 14 359746.43563 185296.21443 1739.33333
67 0 14 374453.32328 178682.38887 1720.00000
68 0 35 325880.81775 226999.56949 2684.91667
69 0 4 929607.15117 50606.33106 455.50000
70 0 6 904045.72368 37316.74760 569.50000
71 0 2 1011470.35879 14079.74988 164.16667
72 0 3 1082992.41336 1330.35112 45.91667
73 0 7 903845.02713 37479.13114 579.16667
74 0 7 1064467.89028 11125.82952 200.25000
75 0 32 328313.87246 220150.53621 2617.25000
76 0 8 805934.63134 74266.20154 881.00000
