#individual_index individual_rank segment_count edge connectivity
0 0 1 0.00000 0.00000
1 0 1 0.00000 0.00000
2 0 1 0.00000 0.00000
3 0 1 0.00000 0.00000
4 0 1 0.00000 0.00000
5 0 1 0.00000 0.00000
6 0 1 0.00000 0.00000
7 0 1 0.00000 0.00000
8 0 1 0.00000 0.00000
9 0 1 0.00000 0.00000
10 0 1 0.00000 0.00000
11 0 1 0.00000 0.00000
12 0 1 0.00000 0.00000
13 0 1 0.00000 0.00000
14 0 1 0.00000 0.00000
15 0 1 0.00000 0.00000
16 0 1 0.00000 0.00000
17 0 1 0.00000 0.00000
18 0 1 0.00000 0.00000
19 0 1 0.00000 0.00000
20 0 1 0.00000 0.00000
21 0 1 0.00000 0.00000
22 0 1 0.00000 0.00000
23 0 1 0.00000 0.00000
24 0 1 0.00000 0.00000
25 0 1 0.00000 0.00000
26 0 1 0.00000 0.00000
27 0 1 0.00000 0.00000
28 0 1 0.00000 0.00000
29 0 1 0.00000 0.00000
30 0 1 0.00000 0.00000
31 0 1 0.00000 0.00000
32 0 1 0.00000 0.00000
33 0 1 0.00000 0.00000
34 0 1 0.00000 0.00000
35 0 1 0.00000 0.00000
36 0 1 0.00000 0.00000
37 0 1 0.00000 0.00000
38 0 1 0.00000 0.00000
39 0 1 0.00000 0.00000
40 0 1 0.00000 0.00000
41 0 1 0.00000 0.00000
42 0 1 0.00000 0.00000
43 0 1 0.00000 0.00000
44 0 1 0.00000 0.00000
45 0 1 0.00000 0.00000
46 0 1 0.00000 0.00000
47 0 1 0.00000 0.00000
48 0 1 0.00000 0.00000
49 0 1 0.00000 0.00000
50 0 1 0.00000 0.00000
51 0 1 0.00000 0.00000
52 0 1 0.00000 0.00000
53 0 1 0.00000 0.00000
54 0 1 0.00000 0.00000
55 0 1 0.00000 0.00000
56 0 1 0.00000 0.00000
57 0 1 0.00000 0.00000
58 0 1 0.00000 0.00000
59 0 1 0.00000 0.00000
60 0 1 0.00000 0.00000
61 0 1 0.00000 0.00000
62 0 1 0.00000 0.00000
63 0 1 0.00000 0.00000
64 0 1 0.00000 0.00000
65 0 1 0.00000 0.00000
66 0 1 0.00000 0.00000
